group, axis, value, description
Bulbs, Jan, 0, 
Bulbs, Feb, 0, 
Bulbs, Mar, 0, 
Bulbs, Apr, 0, 
Bulbs, May, 0, 
Bulbs, Jun, 0, 
Bulbs, Jul, 0, 
Bulbs, Aug, 1500, 
Bulbs, Sep, 5000, 
Bulbs, Oct, 8500, 
Bulbs, Nov, 3500, 
Bulbs, Dec, 500, 
Seeds, Jan, 2500, 
Seeds, Feb, 5500, 
Seeds, Mar, 9000, 
Seeds, Apr, 6500, 
Seeds, May, 3500, 
Seeds, Jun, 0, 
Seeds, Jul, 0, 
Seeds, Aug, 0, 
Seeds, Sep, 0, 
Seeds, Oct, 0, 
Seeds, Nov, 0, 
Seeds, Dec, 0, 
Flowers, Jan, 500, 
Flowers, Feb, 750, 
Flowers, Mar, 1500, 
Flowers, Apr, 2000, 
Flowers, May, 5500, 
Flowers, Jun, 7500, 
Flowers, Jul, 8500, 
Flowers, Aug, 7000, 
Flowers, Sep, 3500, 
Flowers, Oct, 2500, 
Flowers, Nov, 500, 
Flowers, Dec, 100, 
Trees, Jan, 0, 
Trees, Feb, 1500, 
Trees, Mar, 2500, 
Trees, Apr, 4000, 
Trees, May, 3500, 
Trees, Jun, 1500, 
Trees, Jul, 800, 
Trees, Aug, 550, 
Trees, Sep, 2500, 
Trees, Oct, 6000, 
Trees, Nov, 5500, 
Trees, Dec, 3000, 
